es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Puré de patatas y champiñones en copos,Mashed potatoes and mushrooms flakes,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1620,kJ,0,mg,NaN,g
Níscalo crudo,Milk cap raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,58.62,kJ,0.14,g,0,mg
Seta,Mushroom,,Verduras hortalizas y derivados,Vegetables and vegetable products,,109.7,kJ,0.07,g,0,mg
Champiñon,Mushroom (champignon),,Verduras hortalizas y derivados,Vegetables and vegetable products,,109.7,kJ,0.07,g,0,mg
Seta plancha,Mushroom griddle,,Verduras hortalizas y derivados,Vegetables and vegetable products,,54.68,kJ,0.1,g,0,mg
Champiñones en conserva,Mushrooms canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,57.94,kJ,0.12,g,0,mg
Cebolla,Onion,,Verduras hortalizas y derivados,Vegetables and vegetable products,,109.225,kJ,0,mg,NaN,g
Cebolla hervida,Onion boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,76.8,kJ,0,mg,NaN,g
Cebolla asada,Onion roasted,,Verduras hortalizas y derivados,Vegetables and vegetable products,,158.87,kJ,0.09,g,0,mg
Palmito en conserva,Palm heart canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,194.7,kJ,0,mg,NaN,g
Pimiento frito,Pepper fried,,Verduras hortalizas y derivados,Vegetables and vegetable products,,84.07,kJ,0.04,g,0,mg
Pepinillos en vinagre,Pickled gherkin,,Verduras hortalizas y derivados,Vegetables and vegetable products,,65.58,kJ,0.03,g,0,mg
Patata hervida,Potato boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,313.4,kJ,0.05,g,0,mg
Patata frita con aceite s/e sin sal,Potato fried in oil unspecified without salt,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1208.22,kJ,1.66,g,0,mg
Patata prefrita congelada,Potato prefried frozen,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1126.63,kJ,1.2,g,0,mg
Patata cruda,Potato raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,303.2,kJ,0.03,g,0,mg
Patata asada,Potato roast,,Verduras hortalizas y derivados,Vegetables and vegetable products,,859.65,kJ,0.026,g,0,mg
Patata salteada con aceite girasol,Potato sauteed with sunflowerseed oil,,Verduras hortalizas y derivados,Vegetables and vegetable products,,560.952,kJ,1.7893,g,0,mg
Calabaza hervida,Pumpkin boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,51.45,kJ,0.1,g,0,mg
Calabaza cruda,Pumpkin raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,134.1,kJ,0.26,g,0,mg
Rábano,Radish,,Verduras hortalizas y derivados,Vegetables and vegetable products,,65.5,kJ,0,mg,NaN,g
Col lombarda hervida,Red cabbage boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,74.85,kJ,0,mg,NaN,g
Pimiento rojo crudo,Red pepper raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,120.8,kJ,0.14,g,0,mg
Ensalada,Salad,,Verduras hortalizas y derivados,Vegetables and vegetable products,,80.06,kJ,0.06,g,0,mg
Col rizada cruda,Savoy cabbage raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,140.8,kJ,0.2,g,0,mg
Soja germinada en conserva,Soybean sprouts canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,54.7,kJ,0,mg,NaN,g
Espinaca hervida,Spinach boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,91.74,kJ,0,mg,NaN,g
Espinaca en conserva,Spinach canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,61.04,kJ,0.03,g,0,mg
Espinaca picada congelada cruda,Spinach frozen raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,92.7125,kJ,0.24,g,0,mg
Pimiento morrón en conserva,Sweet pepper whole canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,123.43,kJ,0.1,g,0,mg
