es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Pizza precocinada,Pizza precooked,,Miscelánea,Miscellaneous foods,,879.4,kJ,4.12,g,16,mg
Palomitas de maíz sin aceite sin sal,Pop corn without oil without salt,,Miscelánea,Miscellaneous foods,,1428.7,kJ,0.6,g,0,mg
Flamenquín,Pork loin cheese and ham roll breaded fried "flamenquin" type,,Miscelánea,Miscellaneous foods,,961.01,kJ,2.95,g,69.3,mg
Patatas chips "lights",Potato crips low calorie,,Miscelánea,Miscellaneous foods,,1913.78,kJ,6.34039,g,0,mg
Suplemento proteico,Protein supplement,,Miscelánea,Miscellaneous foods,,1639.75,kJ,0.871,g,0,mg
Hojaldre,Puff pastry,,Miscelánea,Miscellaneous foods,,2301.7,kJ,5.5,g,1,mg
Pudding de pasas,Raisin pudding,,Miscelánea,Miscellaneous foods,,1239.5,kJ,4.5,g,45,mg
Salsa al roquefort,Roquefort sauce,,Miscelánea,Miscellaneous foods,,1883.25,kJ,12.772,g,38,mg
Romero,Rosemary,,Miscelánea,Miscellaneous foods,,1436.2,kJ,7.37,g,NaN,mg
Ensaladilla rusa,Russian salad,,Miscelánea,Miscellaneous foods,,458.98,kJ,1.07,g,35.09,mg
Azafrán,Saffron,,Miscelánea,Miscellaneous foods,,1457.6,kJ,1.586,g,0,mg
Bocadillo,Sandwich,,Miscelánea,Miscellaneous foods,,938.74,kJ,1.34,g,NaN,mg
Mojo picon,Sauce "mojo picón" type,,Miscelánea,Miscellaneous foods,,2965.54,kJ,10,g,0,mg
Sal de mar,Sea salt,,Miscelánea,Miscellaneous foods,,0,kJ,0,mg,NaN,g
Paella marinera,Seafood paella,,Miscelánea,Miscellaneous foods,,510.5,kJ,0.238,g,17,mg
Seitán,Seitan,,Miscelánea,Miscellaneous foods,,516,kJ,0,mg
Salsa siciliana picante,Sicilian sauce hot,,Miscelánea,Miscellaneous foods,,280.7,kJ,0.59,g,2,mg
Gusanito,Snack "gusanito" type,,Miscelánea,Miscellaneous foods,,1990.06,kJ,11.7,g,0,mg
Salsa de soja,Soya sauce,,Miscelánea,Miscellaneous foods,,265.5,kJ,0.011,g,0,mg
Cubito de caldo,Stock powder,,Miscelánea,Miscellaneous foods,,1043.8,kJ,9.09,g,10,mg
Surimi,Surimi,,Miscelánea,Miscellaneous foods,,379.5,kJ,0.18,g,35,mg
Salsa agridulce,Sweet and sour sauce,,Miscelánea,Miscellaneous foods,,504.05,kJ,0.37,g,0,mg
Tabasco,Tabasco sauce,,Miscelánea,Miscellaneous foods,,63.65,kJ,0.106,g,0,mg
Pasta de sésamo,Tahini,,Miscelánea,Miscellaneous foods,,2470.7,kJ,8.3,g,0,mg
Tomillo seco,Thyme dried,,Miscelánea,Miscellaneous foods,,1399.2,kJ,NaN,g,NaN,mg
Tomate frito,Tomato fried,,Miscelánea,Miscellaneous foods,,350.7,kJ,0.62,g,0,mg
Vainilla,Vanilla,,Miscelánea,Miscellaneous foods,,219.14,kJ,0.01,g,0,mg
Crema de vainilla y mousse de chocolate,Vanilla cream and chocolate mousse,,Miscelánea,Miscellaneous foods,,547.6,kJ,3.3,g,35,mg
Caldo vegetal,Vegetable stock,,Miscelánea,Miscellaneous foods,,435.6,kJ,1.3,g,NaN,mg
Salsa vinagreta con aceite de oliva,Vinaigrette sauce with olive oil,,Miscelánea,Miscellaneous foods,,2661.82,kJ,10.1,g,NaN,mg
Complejo vitaminico,Vitamin complex,,Miscelánea,Miscellaneous foods,,2361.22,kJ,11.03,g,NaN,mg
Aperitivos de trigo,Wheat appetizer,,Miscelánea,Miscellaneous foods,,2122.8,kJ,11.4,g,0,mg
Corteza de trigo,Wheat crusts,,Miscelánea,Miscellaneous foods,,2016.25,kJ,10.73,g,0,mg
Pimienta blanca,white pepper,,Miscelánea,Miscellaneous foods,,232,kcal,0.63,g,0,mg
Vinagre de vino,Wine vinegar,,Miscelánea,Miscellaneous foods,,17,kJ,0,g,0,mg
