es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Dorada cruda,Gilt-head bream raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,326,kJ,67,mg,1.49,g
Mero plancha,Grouper griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,611.28,kJ,1.38,g,41.78,mg
Mero crudo,Grouper raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,366.8,kJ,0.23,g,37,mg
Merluza rebozada frita,Hake coat in batter deep fried,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,621.62,kJ,1.51,g,78.83,mg
Merluza congelada cruda,Hake frozen raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,353.424,kJ,59.6,mg,0.427086,g
Merluza fresca,Hake raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,269.41,kJ,0.35,g,67,mg
Fletan crudo,Halibut raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,354.117,kJ,0.2,g,56.6,mg
Arenque salado,Herring salted,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,1251,kJ,6.4,g,13,mg
Arenque ahumado,Herring smoked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,1057,kJ,3.48,g,50,mg
Jurel crudo,Horse mackerel raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,467.8,kJ,55,mg,0.41,g
Panga cruda,Iridescent shark raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,277.3,kJ,0.47,g,29.8,mg
Langosta,Lobster,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,380,kJ,0.24,g,150,mg
Bogavante hervido,Lobster boiled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,433.843,kJ,0.2,g,110,mg
Caballa cruda,Mackarel raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,757.86,kJ,3.449,g,76,mg
Caballa al horno,Mackerel baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,1036.23,kJ,4.9,g,80,mg
Caballa enlatada en aceite escurrida,Mackerel canned in oil drained,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,867.5,kJ,3.7,g,68,mg
Rape plancha,Monkfish griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,363,kJ,0.51,g,50,mg
Rape a la parrilla,Monkfish grilled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,396.2,kJ,0.1,g,29,mg
Rape crudo,Monkfish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,292.5,kJ,0.13,g,17,mg
Salmonete,Mullet,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,376.6,kJ,1.07,g,49,mg
Mejillon,Mussel,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,253.9,kJ,0.41,g,58,mg
Mejillón hervido,Mussel boiled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,467.641,kJ,0.5,g,54,mg
Mejillón en conserva al natural,Mussel canned in brine,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,345.3,kJ,0.46,g,100,mg
Mejillón en escabeche,Mussel pickled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,699.9,kJ,2.76,g,61.9,mg
