es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Corazón de cordero crudo,Heart lamb raw,,Cárnicos y derivados,Meat and meat products,,494.97,kJ,2.3,g,135,mg
Gallina entera cruda,Hen whole raw,,Cárnicos y derivados,Meat and meat products,,963.8,kJ,5.1,g,72,mg
Jamón ibérico de bellota,Iberian acorn-feed ham,,Cárnicos y derivados,Meat and meat products,,1394.3,kJ,69,mg,6.53,g
Jamón ibérico de cebo,Iberian ham of land cebo-feed,,Cárnicos y derivados,Meat and meat products,,1261.2,kJ,69,mg,7.81,g
Cabrito lechal espalda cruda,Kid back raw,,Cárnicos y derivados,Meat and meat products,,856.17,kJ,5.2,g,61.79,mg
Cabrito lechal pierna cruda,Kid leg raw,,Cárnicos y derivados,Meat and meat products,,792.49,kJ,4.37,g,65.76,mg
Cabrito parte s/e crudo con grasa separable,Kid part n/e raw with separable fat,,Cárnicos y derivados,Meat and meat products,,476.1,kJ,1.5,g,56,mg
Cabrito lechal costillar crudo,Kid ribs raw,,Cárnicos y derivados,Meat and meat products,,938,kJ,6.12,g,64.26,mg
Riñón de cordero crudo,Kidney lamb raw,,Cárnicos y derivados,Meat and meat products,,396.55,kJ,1,g,375,mg
Riñón de ternera crudo,Kidney veal raw,,Cárnicos y derivados,Meat and meat products,,445.587,kJ,1.4,g,375,mg
Molleja de cordero,Lamb gizzard,,Cárnicos y derivados,Meat and meat products,,548.7,kJ,3,g,260,mg
Pulmón de cordero crudo,Lamb lung raw,,Cárnicos y derivados,Meat and meat products,,380.1,kJ,0.89,g
Cordero pierna con grasa asada,Lamb leg with separable fat baked,,Cárnicos y derivados,Meat and meat products,,927.782,kJ,6.4,g,84,mg
Cordero parte sin especificar,Lamb not specified part,,Cárnicos y derivados,Meat and meat products,,1475.1,kJ,15.17,g,78,mg
Cordero costilla crudo,Lamb rib raw,,Cárnicos y derivados,Meat and meat products,,1008.9,kJ,9.96,g,79,mg
Lengua de cordero cruda,Lamb tongue raw,,Cárnicos y derivados,Meat and meat products,,800.3,kJ,5.623,g,180,mg
Cordero ligero espalda cruda,Light lamb back raw,,Cárnicos y derivados,Meat and meat products,,837.72,kJ,5.34,g,65.74,mg
Cordero ligero pierna cruda,Light lamb leg raw,,Cárnicos y derivados,Meat and meat products,,768.51,kJ,4.54,g,67.96,mg
Cordero ligero costillar crudo,Light lamb ribs raw,,Cárnicos y derivados,Meat and meat products,,976.44,kJ,6.39,g,64.43,mg
Hígado de vaca/buey crudo,Liver beef raw,,Cárnicos y derivados,Meat and meat products,,566.999,kJ,1.5,g,300,mg
Higado de pollo crudo,Liver chicken raw,,Cárnicos y derivados,Meat and meat products,,570.34,kJ,1.582,g,492,mg
Hígado de cerdo crudo,Liver pork raw,,Cárnicos y derivados,Meat and meat products,,500.7,kJ,1.2,g,301,mg
Carne picada,Mincemeat,,Cárnicos y derivados,Meat and meat products,,1017.24,kJ,8.2,g,59,mg
Avestruz solomillo crudo,Ostrich sirloin raw,,Cárnicos y derivados,Meat and meat products,,477.54,kJ,1.2,g,75,mg
Rabo de toro,Oxtail,,Cárnicos y derivados,Meat and meat products,,834.2,kJ,6.3,g,70,mg
Perdiz cruda,Partridge raw,,Cárnicos y derivados,Meat and meat products,,466.13,kJ,0.77,g,76,mg
Paté de pimienta,Pepper paté,,Cárnicos y derivados,Meat and meat products,,1208.4,kJ,10.48,g,96,mg
Pichón sin piel asado,Pigeon part n/e without skin roasted,,Cárnicos y derivados,Meat and meat products,,740,kJ,75,mg,0.78,g
Pate de higado de cerdo 30% de grasa,Pork liver pate fat 30%,,Cárnicos y derivados,Meat and meat products,,1414.5,kJ,10.48,g,255,mg
Choped pork,Pork luncheon meat,,Cárnicos y derivados,Meat and meat products,,1288,kJ,9.4,g,72,mg
Pulmón de cerdo crudo,Pork lung raw,,Cárnicos y derivados,Meat and meat products,,340,kJ,0.96,g,320,mg
Carne de cerdo de capa blanca chuleta parte magra cruda,Pork meat chop lean raw,,Cárnicos y derivados,Meat and meat products,,574.3,kJ,1.8415,g,68.5,mg
Carne de cerdo de capa blanca chuleta partes grasa y magra cruda,Pork meat chop separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,,665.06,kJ,2.716,g,70.65,mg
Carne de cerdo de capa blanca jamón parte magra crudo,Pork meat ham lean raw,,Cárnicos y derivados,Meat and meat products,,528.2,kJ,0.556,g,62.5,mg
Carne de cerdo de capa blanca jamón partes grasa y magra crudo,Pork meat ham separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,,536.49,kJ,1.1285,g,67.43,mg
Carne de cerdo de capa blanca cabezada parte magra cruda,Pork meat head end of loin lean raw,,Cárnicos y derivados,Meat and meat products,,686.8,kJ,3.095,g,74,mg
