es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Ron,Rum,,Bebidas (no lácteas),Beverages (non-milk),,968.6,kJ,0,mg,NaN,g
Sangría,Sangria,,Bebidas (no lácteas),Beverages (non-milk),,297.1,kJ,0,mg,NaN,g
Sidra,Sidra,,Bebidas (no lácteas),Beverages (non-milk),,209.3,kJ,0,g,0,mg
Soda,Soda,,Bebidas (no lácteas),Beverages (non-milk),,0,kJ,0,g,0,mg
Refresco con gas sabor naranja,Soft drink carbonated orange flavoured,,Bebidas (no lácteas),Beverages (non-milk),,183.6,kJ,0,mg,NaN,g
Refresco sabor cola,Soft drink cola flavoured,,Bebidas (no lácteas),Beverages (non-milk),,184.45,kJ,0,g,0,mg
Refresco sabor cola bajo en calorías,Soft drink cola flavoured light,,Bebidas (no lácteas),Beverages (non-milk),,1.7,kJ,0,g,0,mg
Refresco sabor naranja sin gas,Soft drink orange flavoured no carbonated,,Bebidas (no lácteas),Beverages (non-milk),,160.905,kJ,0,mg,NaN,g
Refresco "tipo gaseosa",Soft drink soda type,,Bebidas (no lácteas),Beverages (non-milk),,0,kJ,0,g,0,mg
Refresco tipo "tónica",Soft drink tonic water type,,Bebidas (no lácteas),Beverages (non-milk),,156.4,kJ,0,g,0,mg
Cacao en polvo azucarado bajo en calorías,Soluble cocoa with sugar powder light,,Bebidas (no lácteas),Beverages (non-milk),,1607,kJ,4.47,g,6,mg
Café en polvo soluble,Soluble coffee powder,,Bebidas (no lácteas),Beverages (non-milk),,501.5,kJ,0.19,g,0,mg
Agua con gas embotellada,Sparkling water bottled,,Bebidas (no lácteas),Beverages (non-milk),,0,kJ,0,mg,NaN,g
Cava,Sparkling wine "cava" type,,Bebidas (no lácteas),Beverages (non-milk),,292.8,kJ,0,g,0,mg
Bebida isotónica,Sport drink,,Bebidas (no lácteas),Beverages (non-milk),,134.3,kJ,0,g,0,mg
Vino dulce tipo oporto,Sweet wine "oporto" type,,Bebidas (no lácteas),Beverages (non-milk),,550,kJ,0,g,0,mg
Agua de la red,Tap water,,Bebidas (no lácteas),Beverages (non-milk),,0,kJ,0,g,0,mg
Té infusión con leche,Tea infusion with milk,,Bebidas (no lácteas),Beverages (non-milk),,158.069,kJ,1.2032,g,7,mg
Refresco de té,Tea soft drink,,Bebidas (no lácteas),Beverages (non-milk),,156.23,kJ,0,mg,NaN,g
Refresco de té bajo en calorías,Tea soft drink light,,Bebidas (no lácteas),Beverages (non-milk),,1.7,kJ,0,mg,NaN,g
Tequila,Tequila,,Bebidas (no lácteas),Beverages (non-milk),,1102,kJ,0,g,0,mg
Horchata,Tigger nut milk drink,,Bebidas (no lácteas),Beverages (non-milk),,409.3,kJ,0.4,g,0,mg
Zumo de tomate fresco,Tomato fresh juice,,Bebidas (no lácteas),Beverages (non-milk),,65.09,kJ,0.0066,g,0,mg
Néctar de frutas exóticas envasado,Tropical fruit nectar,,Bebidas (no lácteas),Beverages (non-milk),,231.2,kJ,0,mg,NaN,g
Vermut s/e,Vermuth n/e,,Bebidas (no lácteas),Beverages (non-milk),,582.1,kJ,0,mg,NaN,g
Vodka,Vodka,,Bebidas (no lácteas),Beverages (non-milk),,971.5,kJ,0,mg,NaN,g
Whisky,Whisky,,Bebidas (no lácteas),Beverages (non-milk),,1022.67,kJ,0,g,0,mg
Vino blanco,White wine,,Bebidas (no lácteas),Beverages (non-milk),,252.22,kJ,0,g,0,mg
Vino rosado,Wine rose,,Bebidas (no lácteas),Beverages (non-milk),,277.8,kJ,0,g,0,mg
